1	1.014
1001	2.837
2001	8.936
3001	20.522
4001	37.125
5001	58.43
6001	85.229
7001	115.976
8001	155.684
9001	197.726
10001	244.568
11001	300.368
12001	361.96
13001	424.574
14001	494.913
15001	571.551
16001	650.678
17001	746.717
18001	834.377
19001	935.033
20001	1037.19
21001	1156.06
22001	1252.67
23001	1383.77
24001	1519.89
25001	1639.98
26001	1787.44
27001	1935.31
28001	2070.79
29001	2251.17
30001	2391.26
31001	2564.89
32001	2771.06
33001	2935.14
34001	3117.74
35001	3314.56
36001	3523.91
37001	3725.42
38001	3954.69
39001	4148.79
40001	4353.79
41001	4602.46
42001	4836.11
43001	5081.46
44001	5298.22
45001	5567.52
46001	5843.18
47001	6064.65
48001	6354.59
49001	6617.18
