1	0.99
1001	1.385
2001	4.743
3001	9.23
4001	16.861
5001	25.609
6001	36.768
7001	55.306
8001	66.703
9001	82.401
10001	101.322
11001	122.462
12001	145.049
13001	176.366
14001	197.612
15001	227.311
16001	258.068
17001	291.833
18001	326.648
19001	363.816
20001	403.184
21001	450.952
22001	492.892
23001	534.472
24001	580.852
25001	630.64
26001	683.255
27001	735.054
28001	789.734
29001	847.333
30001	907.834
31001	974.557
32001	1033.42
33001	1099.71
34001	1173.08
35001	1234.93
36001	1306.54
37001	1380.91
38001	1466.49
39001	1536.66
40001	1632.44
41001	1697.27
42001	1784.3
43001	1864.77
44001	1956.07
45001	2057.42
46001	2137.18
47001	2228.97
48001	2324.02
49001	2426.23
